label1,label2,title,label1_number,label2_number
news_culture,news_culture**reading,|真实的生活开始于我们独处之时 | 推荐,0,24
news_car,news_car**SUV,|纳兰东冬：兼具苏苏Q萌和红红实力派散发主角光环,3,26
emotion,emotion**affection,|老公说他到家了可家里无线网却没自动连接，我疑心顿生知道坏事了,6,6
news_baby,news_baby**baby_nurturing,|宝宝消化不良，妈妈有很大责任 预防很重要，可从这5点做起,1,9
digital,digital**coolplay,|85英寸巨屏领衔  看尚三款全新电视发布,7,7
digital,digital**cellphone,|中端旗舰的正确打开方式  华为G9 plus深度体验,7,32
news_finance,news_finance**other,|获投资青睐与拉拢 老邻居印度存在感显著增强,2,16
news_culture,news_culture**art,|你别说民国工匠手艺也行，看看这三尊金代彩塑被毁成了什么样子？,0,17
news_finance,news_finance**investment,|电信运营商推企业订制SIM卡，不仅仅是打价格战那么简单,2,5
news_car,news_car**car_usage,|车辆长时间停放的注意事项,3,8
news_fashion,news_fashion**dressing,|超短裙还是齐B小短裙，什么样的裙长才适合你？,5,25
digital,digital**photography,|稻草的童话世界，枯黄的稻草也可以这样萌！,7,4
news_entertainment,news_entertainment**gossip,|王菲谢霆锋被拍十指紧扣散步 然而网友关注的却是这个,4,12
news_culture,news_culture**art,|寻找福建手艺人9：创造颜色的魔术师——瓷器颜料生产科普,0,17
emotion,emotion**marriage,|直播玄凤鹦鹉产子，夫妻轮流孵蛋,6,22
news_finance,news_finance**financing,|陶小开：“飞猪”利用信用大数据驱动新型商业经济,2,21
news_entertainment,news_entertainment**film_tv,|范冰冰倾城美颜，终究只能做配？,4,33
news_entertainment,news_entertainment**film_tv,|第二届新丝路长安杯大学生国际微电影节颁奖盛典,4,33
news_culture,news_culture**reading,|刘恺威《飞刀》将接档《锦绣未央》，杨幂老公古装扮嫩耍帅,0,24
news_finance,news_finance**other,|进口猪肉比我国猪肉便宜四分之一 你拿什么竞争,2,16
news_entertainment,news_entertainment**other,|陈二狗的妖孽人生都拍网剧了，雪中悍刀行还远吗？,4,11
news_baby,news_baby**pregnancy,|规模猪场全进全出模式的栏舍分区及各分区布局面积,1,10
emotion,emotion**marriage,|婚姻中无尽的争吵，往往是因为这三个错误！,6,22
news_finance,news_finance**entrepreneurship,|创业挣的首先是认知，接下来才是钱,2,19
news_finance,news_finance**investment,|战舰收评：慢一点也是一种智慧,2,5
news_entertainment,news_entertainment**film_tv,|十句话影评｜《铁道飞虎》：超越“抗日神剧”的“抗日闹剧”！,4,33
news_car,news_car**other,|谁说马三不好看的？马自达3昂克塞拉改装后，只要10万！,3,30
emotion,emotion**marriage,|王熙凤呼风唤雨，为啥浪荡贾琏还要出去找小三？做女人可不能这样,6,22
news_fashion,news_fashion**cosmetology,|从业十年发型师告诉你 不同脸型对应的不同发型~图片对比照,5,2
news_culture,news_culture**art,|从一棵树说起：日本的传统手艺为何那么棒,0,17
news_culture,news_culture**art,|2016江心屿·空气音乐节丨温州最嗨的两天重磅来袭！,0,17
digital,digital**cellphone,|512M内存可升级  微软确认Win10可支持低内存设备,7,32
news_baby,news_baby**baby_growth,|好的教育并不仅仅意味着分数，首先是人格和体育的发展。,1,1
emotion,emotion**jitang,|大唐玄奘：平庸的黄教主，伟大的玄奘 —— 熊猫妈妈,6,3
news_fashion,news_fashion**cosmetology,|关于精华你值得知道的事,5,2
news_baby,news_baby**pregnancy,|她大男友5岁，未婚先孕，体重胖到160斤，生完秒瘦秀性感,1,10
news_fashion,news_fashion**dressing,|不同身材这样穿裙子，美得不要不要的！,5,25
news_entertainment,news_entertainment**music,|王力宏在古堡办婚礼，流泪对视李靓蕾,4,31
news_culture,news_culture**art,|大师教你培养儿童音乐素养,0,17
news_entertainment,news_entertainment**other,|这部国产剧，让我看出了《黑镜》的感觉,4,11
news_car,news_car**car_usage,|这种情况左转弯，你做对了吗？,3,8
news_culture,news_culture**other,|耀世而生|中华夫人 全球绽放 中华夫人 国际大赛在京举行,0,18
news_culture,news_culture**other,|王者之香，说说大家喜闻乐见的兰花,0,18
news_entertainment,news_entertainment**film_tv,|2016年全球十大影视明星排行榜，竟然有7位是大波浪的、长头发的！,4,33
digital,digital**coolplay,|握奇手环北京一卡通版初体验,7,7
news_entertainment,news_entertainment**film_tv,|王宝强离婚剧情大逆转：网友爆料马蓉宋哲本相恋,4,33
news_entertainment,news_entertainment**film_tv,|郑恺突然发微博怒斥媒体“滚出我的生活”随后删除，揭秘发飙原因,4,33
news_car,news_car**other,|2017年1月1日起，驾驶证年龄标准实行新规，你知道多少？,3,30
news_entertainment,news_entertainment**other,|他是张惠妹的音乐恩师，飙高音超过林志炫，离开我们快20年,4,11
news_fashion,news_fashion**cosmetology,|孕期喝美羚羊奶粉，营养健康不易发胖,5,2
news_car,news_car**other,|共享单车已用上，这种防爆轮胎会是未来吗？,3,30
